idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
326,1.05911823647295,85.5837457719257,-48.557733632728,11.6813809540584,18.5130060695989,134.141479404654,1
327,1.07314629258517,85.7133198927993,-48.6830918947216,11.6468005515293,18.5151139990389,134.396411787521,1
328,1.08717434869739,85.8432553856263,-48.8087816369378,11.6119779446804,18.5172368743443,134.652037022564,1
329,1.10120240480962,85.9735527349305,-48.9348037464549,11.576910595157,18.5193744942378,134.908356481385,1
330,1.11523046092184,86.1042124155654,-49.061159113231,11.5415959292271,18.5215266511672,135.165371528796,1
331,1.12925851703407,86.235234892555,-49.1878486301721,11.5060313371663,18.5236931311914,135.423083522727,1
332,1.14328657314629,86.3666206209332,-49.3148731932025,11.4702141726309,18.5258737138653,135.681493814136,1
333,1.15731462925852,86.4983700455826,-49.4422337013376,11.434141752017,18.5280681721225,135.94060374692,1
334,1.17134268537074,86.6304836010718,-49.5699310567596,11.3978113538071,18.5302762721561,136.200414657831,1
335,1.18537074148297,86.7629617114907,-49.6979661648957,11.3612202179021,18.5324977732975,136.460927876386,1
336,1.19939879759519,86.8958047902857,-49.8263399344992,11.32436554494,18.5347324278932,136.722144724785,1
337,1.21342685370741,87.0290132400933,-49.9550532777331,11.2872444955997,18.5369799811801,136.984066517826,1
338,1.22745490981964,87.1625874525722,-50.0841071102566,11.2498541898899,18.5392401711578,137.246694562829,1
339,1.24148296593186,87.2965278082347,-50.2135023513154,11.2121917064237,18.5415127284596,137.51003015955,1
340,1.25551102204409,87.4308346762764,-50.343239923834,11.174254081677,18.5437973762212,137.77407460011,1
341,1.26953907815631,87.5655084144052,-50.4733207545118,11.1360383092309,18.5460938299467,138.038829168917,1
342,1.28356713426854,87.7005493686689,-50.6037457739226,11.0975413389983,18.5484017973732,138.304295142592,1
343,1.29759519038076,87.8359578732819,-50.7345159166171,11.0587600764339,18.5507209783324,138.570473789899,1
344,1.31162324649299,87.9717342504501,-50.8656321212291,11.0196913817264,18.5530510646105,138.837366371679,1
345,1.32565130260521,88.1078788101959,-50.9970953305854,10.9803320689738,18.5553917398052,139.104974140781,1
346,1.33967935871743,88.2443918501809,-51.1289064918196,10.9406789053407,18.5577426791806,139.373298342,1
347,1.35370741482966,88.3812736555279,-51.2610665564888,10.9007286101964,18.5601035495196,139.642340212017,1
348,1.36773547094188,88.5185244986426,-51.3935764806957,10.8604778542356,18.5624740089735,139.912100979338,1
349,1.38176352705411,88.6561446390329,-51.5264372252137,10.8199232585781,18.5648537069096,140.182581864247,1
